Number A,Operation,Number B,Solution
10.0,1.0,7.0,17.0
10.0,2.0,20.0,-10.0
3.0,2.0,9.0,-6.0
13.0,2.0,11.0,2.0
12.0,4.0,10.0,1.2
13.0,4.0,14.0,0.9285714285714286
14.0,2.0,5.0,9.0
2.0,1.0,17.0,19.0
11.0,2.0,2.0,9.0
1.0,2.0,11.0,-10.0
20.0,3.0,1.0,20.0
19.0,2.0,15.0,4.0
8.0,4.0,18.0,0.4444444444444444
6.0,2.0,18.0,-12.0
8.0,4.0,18.0,0.4444444444444444
8.0,1.0,11.0,19.0
8.0,4.0,17.0,0.47058823529411764
10.0,4.0,9.0,1.1111111111111112
3.0,2.0,6.0,-3.0
2.0,4.0,19.0,0.10526315789473684
14.0,1.0,7.0,21.0
7.0,3.0,17.0,119.0
8.0,2.0,11.0,-3.0
3.0,2.0,13.0,-10.0
1.0,1.0,14.0,15.0
2.0,3.0,14.0,28.0
13.0,1.0,19.0,32.0
12.0,1.0,4.0,16.0
11.0,3.0,9.0,99.0
20.0,1.0,9.0,29.0
14.0,4.0,9.0,1.5555555555555556
12.0,2.0,18.0,-6.0
3.0,4.0,16.0,0.1875
6.0,4.0,8.0,0.75
5.0,2.0,6.0,-1.0
6.0,1.0,3.0,9.0
20.0,2.0,3.0,17.0
1.0,3.0,1.0,1.0
17.0,2.0,6.0,11.0
5.0,3.0,3.0,15.0
1.0,1.0,3.0,4.0
11.0,3.0,17.0,187.0
10.0,2.0,12.0,-2.0
17.0,2.0,4.0,13.0
12.0,1.0,8.0,20.0
9.0,2.0,14.0,-5.0
13.0,4.0,16.0,0.8125
16.0,2.0,16.0,0.0
7.0,2.0,8.0,-1.0
9.0,1.0,8.0,17.0
3.0,3.0,7.0,21.0
4.0,2.0,12.0,-8.0
10.0,1.0,14.0,24.0
3.0,1.0,1.0,4.0
8.0,3.0,17.0,136.0
12.0,3.0,10.0,120.0
1.0,1.0,18.0,19.0
6.0,1.0,1.0,7.0
6.0,1.0,1.0,7.0
18.0,4.0,1.0,18.0
10.0,1.0,17.0,27.0
4.0,4.0,11.0,0.36363636363636365
16.0,3.0,4.0,64.0
18.0,3.0,10.0,180.0
9.0,2.0,11.0,-2.0
2.0,4.0,17.0,0.11764705882352941
16.0,3.0,7.0,112.0
1.0,2.0,11.0,-10.0
8.0,2.0,1.0,7.0
2.0,4.0,12.0,0.16666666666666666
3.0,3.0,10.0,30.0
3.0,4.0,14.0,0.21428571428571427
11.0,2.0,5.0,6.0
8.0,1.0,4.0,12.0
9.0,3.0,13.0,117.0
9.0,1.0,8.0,17.0
18.0,1.0,12.0,30.0
1.0,2.0,20.0,-19.0
17.0,4.0,4.0,4.25
6.0,1.0,18.0,24.0
3.0,2.0,10.0,-7.0
19.0,3.0,4.0,76.0
4.0,3.0,11.0,44.0
3.0,2.0,2.0,1.0
8.0,3.0,17.0,136.0
6.0,3.0,5.0,30.0
1.0,4.0,19.0,0.05263157894736842
6.0,2.0,20.0,-14.0
14.0,4.0,19.0,0.7368421052631579
17.0,2.0,1.0,16.0
2.0,3.0,11.0,22.0
6.0,1.0,19.0,25.0
1.0,2.0,2.0,-1.0
5.0,2.0,1.0,4.0
16.0,4.0,5.0,3.2
4.0,1.0,10.0,14.0
4.0,1.0,2.0,6.0
13.0,3.0,3.0,39.0
10.0,4.0,2.0,5.0
5.0,3.0,14.0,70.0
17.0,1.0,4.0,21.0
19.0,1.0,20.0,39.0
12.0,2.0,3.0,9.0
16.0,2.0,15.0,1.0
14.0,4.0,10.0,1.4
7.0,3.0,18.0,126.0
8.0,1.0,11.0,19.0
14.0,3.0,1.0,14.0
1.0,4.0,6.0,0.16666666666666666
6.0,3.0,7.0,42.0
14.0,1.0,2.0,16.0
13.0,3.0,16.0,208.0
15.0,3.0,9.0,135.0
12.0,1.0,8.0,20.0
5.0,4.0,10.0,0.5
9.0,4.0,2.0,4.5
19.0,4.0,19.0,1.0
3.0,1.0,11.0,14.0
2.0,4.0,5.0,0.4
9.0,3.0,12.0,108.0
15.0,1.0,19.0,34.0
11.0,2.0,13.0,-2.0
14.0,2.0,20.0,-6.0
9.0,1.0,13.0,22.0
6.0,4.0,12.0,0.5
18.0,2.0,16.0,2.0
11.0,3.0,12.0,132.0
11.0,2.0,11.0,0.0
16.0,1.0,16.0,32.0
3.0,1.0,14.0,17.0
2.0,4.0,11.0,0.18181818181818182
18.0,1.0,19.0,37.0
14.0,2.0,3.0,11.0
6.0,4.0,12.0,0.5
4.0,3.0,18.0,72.0
1.0,2.0,6.0,-5.0
19.0,1.0,7.0,26.0
14.0,3.0,17.0,238.0
11.0,1.0,4.0,15.0
8.0,2.0,9.0,-1.0
14.0,3.0,16.0,224.0
10.0,1.0,17.0,27.0
11.0,1.0,12.0,23.0
8.0,1.0,18.0,26.0
8.0,2.0,3.0,5.0
2.0,4.0,13.0,0.15384615384615385
2.0,3.0,12.0,24.0
7.0,4.0,2.0,3.5
18.0,1.0,10.0,28.0
10.0,1.0,5.0,15.0
6.0,4.0,19.0,0.3157894736842105
2.0,1.0,5.0,7.0
13.0,3.0,12.0,156.0
18.0,3.0,10.0,180.0
13.0,4.0,10.0,1.3
4.0,2.0,6.0,-2.0
11.0,2.0,20.0,-9.0
2.0,2.0,5.0,-3.0
1.0,3.0,6.0,6.0
9.0,1.0,15.0,24.0
18.0,4.0,20.0,0.9
15.0,1.0,17.0,32.0
13.0,1.0,16.0,29.0
4.0,3.0,16.0,64.0
3.0,2.0,4.0,-1.0
14.0,4.0,17.0,0.8235294117647058
4.0,4.0,13.0,0.3076923076923077
7.0,2.0,15.0,-8.0
12.0,2.0,8.0,4.0
8.0,1.0,14.0,22.0
19.0,4.0,19.0,1.0
14.0,3.0,2.0,28.0
8.0,4.0,16.0,0.5
19.0,1.0,16.0,35.0
8.0,3.0,9.0,72.0
5.0,4.0,13.0,0.38461538461538464
12.0,2.0,20.0,-8.0
17.0,4.0,11.0,1.5454545454545454
13.0,4.0,4.0,3.25
13.0,2.0,18.0,-5.0
7.0,4.0,20.0,0.35
14.0,4.0,6.0,2.3333333333333335
10.0,3.0,2.0,20.0
13.0,2.0,4.0,9.0
18.0,4.0,17.0,1.0588235294117647
18.0,2.0,14.0,4.0
15.0,1.0,18.0,33.0
10.0,4.0,16.0,0.625
20.0,4.0,6.0,3.3333333333333335
10.0,3.0,4.0,40.0
9.0,3.0,16.0,144.0
2.0,1.0,15.0,17.0
19.0,4.0,17.0,1.1176470588235294
9.0,3.0,13.0,117.0
17.0,4.0,10.0,1.7
19.0,1.0,1.0,20.0
1.0,1.0,6.0,7.0
9.0,1.0,18.0,27.0
18.0,3.0,7.0,126.0
18.0,4.0,9.0,2.0
14.0,3.0,5.0,70.0
3.0,1.0,1.0,4.0
3.0,2.0,13.0,-10.0
18.0,4.0,15.0,1.2
13.0,3.0,6.0,78.0
4.0,3.0,8.0,32.0
15.0,1.0,7.0,22.0
9.0,1.0,8.0,17.0
3.0,4.0,4.0,0.75
6.0,2.0,15.0,-9.0
14.0,3.0,3.0,42.0
2.0,2.0,19.0,-17.0
10.0,3.0,19.0,190.0
2.0,1.0,3.0,5.0
3.0,2.0,10.0,-7.0
14.0,2.0,10.0,4.0
17.0,1.0,11.0,28.0
18.0,1.0,13.0,31.0
19.0,1.0,19.0,38.0
17.0,4.0,11.0,1.5454545454545454
9.0,1.0,8.0,17.0
17.0,1.0,20.0,37.0
15.0,3.0,1.0,15.0
14.0,1.0,14.0,28.0
11.0,4.0,16.0,0.6875
19.0,4.0,17.0,1.1176470588235294
3.0,3.0,14.0,42.0
19.0,2.0,6.0,13.0
17.0,1.0,2.0,19.0
5.0,1.0,8.0,13.0
14.0,1.0,3.0,17.0
13.0,3.0,20.0,260.0
19.0,2.0,10.0,9.0
8.0,1.0,4.0,12.0
11.0,3.0,6.0,66.0
14.0,1.0,8.0,22.0
16.0,1.0,6.0,22.0
2.0,3.0,12.0,24.0
7.0,4.0,5.0,1.4
6.0,2.0,16.0,-10.0
1.0,3.0,5.0,5.0
3.0,3.0,12.0,36.0
17.0,4.0,11.0,1.5454545454545454
11.0,3.0,8.0,88.0
5.0,4.0,8.0,0.625
12.0,2.0,8.0,4.0
13.0,2.0,9.0,4.0
11.0,4.0,12.0,0.9166666666666666
16.0,2.0,19.0,-3.0
2.0,4.0,20.0,0.1
5.0,2.0,11.0,-6.0
13.0,4.0,7.0,1.8571428571428572
6.0,3.0,19.0,114.0
12.0,2.0,13.0,-1.0
20.0,3.0,3.0,60.0
9.0,2.0,12.0,-3.0
7.0,2.0,9.0,-2.0
20.0,2.0,2.0,18.0
10.0,1.0,4.0,14.0
12.0,3.0,9.0,108.0
9.0,4.0,7.0,1.2857142857142858
13.0,1.0,6.0,19.0
7.0,2.0,4.0,3.0
8.0,3.0,10.0,80.0
9.0,4.0,20.0,0.45
20.0,3.0,19.0,380.0
15.0,1.0,19.0,34.0
18.0,3.0,18.0,324.0
16.0,3.0,18.0,288.0
17.0,2.0,16.0,1.0
1.0,3.0,12.0,12.0
8.0,2.0,6.0,2.0
18.0,2.0,14.0,4.0
11.0,2.0,5.0,6.0
11.0,2.0,15.0,-4.0
16.0,2.0,1.0,15.0
2.0,4.0,5.0,0.4
2.0,4.0,12.0,0.16666666666666666
18.0,3.0,12.0,216.0
6.0,3.0,9.0,54.0
5.0,3.0,1.0,5.0
7.0,3.0,11.0,77.0
11.0,4.0,12.0,0.9166666666666666
15.0,2.0,4.0,11.0
20.0,1.0,4.0,24.0
6.0,4.0,9.0,0.6666666666666666
10.0,1.0,20.0,30.0
15.0,3.0,10.0,150.0
14.0,2.0,1.0,13.0
20.0,2.0,13.0,7.0
4.0,1.0,1.0,5.0
8.0,3.0,10.0,80.0
1.0,4.0,1.0,1.0
14.0,1.0,9.0,23.0
9.0,1.0,19.0,28.0
4.0,1.0,15.0,19.0
16.0,4.0,2.0,8.0
18.0,2.0,18.0,0.0
18.0,1.0,7.0,25.0
19.0,3.0,3.0,57.0
2.0,4.0,2.0,1.0
13.0,1.0,12.0,25.0
1.0,2.0,1.0,0.0
6.0,1.0,15.0,21.0
2.0,3.0,20.0,40.0
8.0,4.0,7.0,1.1428571428571428
19.0,2.0,5.0,14.0
18.0,1.0,1.0,19.0
10.0,1.0,9.0,19.0
11.0,3.0,9.0,99.0
6.0,1.0,15.0,21.0
12.0,4.0,17.0,0.7058823529411765
6.0,3.0,20.0,120.0
6.0,3.0,16.0,96.0
18.0,3.0,2.0,36.0
15.0,4.0,2.0,7.5
13.0,4.0,9.0,1.4444444444444444
2.0,1.0,10.0,12.0
13.0,3.0,3.0,39.0
1.0,2.0,4.0,-3.0
20.0,2.0,10.0,10.0
19.0,1.0,15.0,34.0
14.0,1.0,5.0,19.0
2.0,1.0,6.0,8.0
4.0,2.0,1.0,3.0
7.0,4.0,11.0,0.6363636363636364
7.0,4.0,7.0,1.0
7.0,3.0,6.0,42.0
6.0,2.0,3.0,3.0
17.0,3.0,14.0,238.0
14.0,1.0,10.0,24.0
16.0,3.0,12.0,192.0
12.0,2.0,3.0,9.0
14.0,1.0,4.0,18.0
2.0,1.0,20.0,22.0
13.0,4.0,7.0,1.8571428571428572
20.0,2.0,7.0,13.0
12.0,1.0,18.0,30.0
10.0,3.0,10.0,100.0
1.0,3.0,17.0,17.0
10.0,3.0,10.0,100.0
5.0,2.0,5.0,0.0
13.0,2.0,8.0,5.0
19.0,1.0,5.0,24.0
15.0,1.0,20.0,35.0
15.0,1.0,17.0,32.0
6.0,1.0,15.0,21.0
6.0,4.0,5.0,1.2
11.0,2.0,3.0,8.0
3.0,4.0,9.0,0.3333333333333333
1.0,3.0,1.0,1.0
5.0,3.0,4.0,20.0
6.0,4.0,1.0,6.0
7.0,4.0,10.0,0.7
13.0,1.0,8.0,21.0
17.0,2.0,10.0,7.0
8.0,4.0,7.0,1.1428571428571428
18.0,3.0,8.0,144.0
5.0,4.0,8.0,0.625
13.0,2.0,13.0,0.0
20.0,2.0,16.0,4.0
1.0,1.0,7.0,8.0
7.0,2.0,16.0,-9.0
19.0,2.0,17.0,2.0
19.0,3.0,5.0,95.0
15.0,2.0,3.0,12.0
13.0,2.0,2.0,11.0
16.0,3.0,9.0,144.0
15.0,1.0,5.0,20.0
20.0,3.0,20.0,400.0
13.0,1.0,14.0,27.0
12.0,4.0,6.0,2.0
2.0,3.0,1.0,2.0
17.0,1.0,1.0,18.0
5.0,4.0,20.0,0.25
11.0,2.0,4.0,7.0
7.0,3.0,8.0,56.0
11.0,4.0,6.0,1.8333333333333333
11.0,1.0,11.0,22.0
2.0,3.0,7.0,14.0
16.0,3.0,17.0,272.0
2.0,4.0,5.0,0.4
10.0,4.0,6.0,1.6666666666666667
9.0,2.0,5.0,4.0
4.0,2.0,12.0,-8.0
10.0,2.0,14.0,-4.0
7.0,1.0,5.0,12.0
7.0,1.0,12.0,19.0
10.0,4.0,12.0,0.8333333333333334
2.0,2.0,19.0,-17.0
7.0,4.0,10.0,0.7
5.0,3.0,16.0,80.0
13.0,4.0,14.0,0.9285714285714286
13.0,2.0,5.0,8.0
7.0,4.0,17.0,0.4117647058823529
5.0,2.0,14.0,-9.0
20.0,2.0,6.0,14.0
4.0,1.0,3.0,7.0
8.0,4.0,18.0,0.4444444444444444
5.0,4.0,8.0,0.625
5.0,2.0,14.0,-9.0
12.0,4.0,9.0,1.3333333333333333
11.0,4.0,13.0,0.8461538461538461
14.0,1.0,5.0,19.0
7.0,2.0,18.0,-11.0
7.0,2.0,11.0,-4.0
1.0,4.0,4.0,0.25
7.0,1.0,9.0,16.0
12.0,2.0,17.0,-5.0
18.0,4.0,12.0,1.5
8.0,3.0,7.0,56.0
3.0,1.0,6.0,9.0
20.0,1.0,19.0,39.0
13.0,4.0,6.0,2.1666666666666665
1.0,4.0,20.0,0.05
10.0,3.0,20.0,200.0
2.0,3.0,12.0,24.0
6.0,4.0,13.0,0.46153846153846156
10.0,4.0,8.0,1.25
7.0,1.0,3.0,10.0
2.0,4.0,10.0,0.2
17.0,2.0,20.0,-3.0
15.0,3.0,14.0,210.0
19.0,3.0,9.0,171.0
12.0,3.0,10.0,120.0
7.0,3.0,14.0,98.0
20.0,4.0,10.0,2.0
6.0,3.0,4.0,24.0
20.0,1.0,10.0,30.0
6.0,4.0,5.0,1.2
19.0,4.0,3.0,6.333333333333333
1.0,3.0,9.0,9.0
1.0,2.0,19.0,-18.0
16.0,4.0,1.0,16.0
18.0,4.0,19.0,0.9473684210526315
4.0,4.0,12.0,0.3333333333333333
1.0,1.0,9.0,10.0
14.0,1.0,5.0,19.0
8.0,4.0,18.0,0.4444444444444444
4.0,3.0,20.0,80.0
7.0,2.0,2.0,5.0
17.0,1.0,11.0,28.0
1.0,1.0,14.0,15.0
20.0,3.0,12.0,240.0
8.0,3.0,12.0,96.0
12.0,3.0,12.0,144.0
2.0,2.0,15.0,-13.0
14.0,2.0,8.0,6.0
5.0,1.0,5.0,10.0
12.0,2.0,16.0,-4.0
20.0,4.0,9.0,2.2222222222222223
14.0,3.0,2.0,28.0
6.0,2.0,12.0,-6.0
17.0,4.0,18.0,0.9444444444444444
10.0,2.0,16.0,-6.0
15.0,4.0,6.0,2.5
20.0,4.0,10.0,2.0
4.0,4.0,3.0,1.3333333333333333
11.0,2.0,10.0,1.0
17.0,2.0,11.0,6.0
19.0,3.0,3.0,57.0
18.0,1.0,9.0,27.0
6.0,1.0,6.0,12.0
11.0,2.0,20.0,-9.0
13.0,2.0,6.0,7.0
20.0,4.0,4.0,5.0
7.0,4.0,20.0,0.35
11.0,3.0,2.0,22.0
20.0,1.0,7.0,27.0
8.0,3.0,11.0,88.0
20.0,2.0,1.0,19.0
19.0,1.0,18.0,37.0
19.0,2.0,16.0,3.0
17.0,3.0,6.0,102.0
7.0,2.0,16.0,-9.0
18.0,4.0,8.0,2.25
12.0,3.0,11.0,132.0
7.0,1.0,5.0,12.0
3.0,2.0,19.0,-16.0
17.0,4.0,7.0,2.4285714285714284
5.0,2.0,3.0,2.0
1.0,3.0,5.0,5.0
2.0,4.0,8.0,0.25
5.0,2.0,15.0,-10.0
12.0,1.0,3.0,15.0
